"","UF","ano","rend","name"
"1","AC","1976/77","0","algodao"
"2","AL","1976/77","99.299999999999997","algodao"
"3","AP","1976/77","0","algodao"
"4","AM","1976/77","0","algodao"
"5","BA","1976/77","123.40000000000001","algodao"
"6","CE","1976/77","1296","algodao"
"7","DF","1976/77","0","algodao"
"8","ES","1976/77","0","algodao"
"9","GO","1976/77","73.099999999999994","algodao"
"10","MA","1976/77","44.399999999999999","algodao"
"11","MT","1976/77","0","algodao"
"12","MS","1976/77","68.400000000000006","algodao"
"13","MG","1976/77","116.2","algodao"
"14","PA","1976/77","0","algodao"
"15","PB","1976/77","666.70000000000005","algodao"
"16","PR","1976/77","290.39999999999998","algodao"
"17","PE","1976/77","300.89999999999998","algodao"
"18","PI","1976/77","141.19999999999999","algodao"
"19","RJ","1976/77","0","algodao"
"20","RN","1976/77","559.89999999999998","algodao"
"21","RS","1976/77","0","algodao"
"22","RO","1976/77","0","algodao"
"23","RR","1976/77","0","algodao"
"24","SC","1976/77","0","algodao"
"25","SP","1976/77","300.10000000000002","algodao"
"26","SE","1976/77","15.9","algodao"
"27","TO","1976/77","0","algodao"
"28","AC","1977/78","0","algodao"
"29","AL","1977/78","62.799999999999997","algodao"
"30","AP","1977/78","0","algodao"
"31","AM","1977/78","0","algodao"
"32","BA","1977/78","130.19999999999999","algodao"
"33","CE","1977/78","1294","algodao"
"34","DF","1977/78","0","algodao"
"35","ES","1977/78","0","algodao"
"36","GO","1977/78","66","algodao"
"37","MA","1977/78","47.100000000000001","algodao"
"38","MT","1977/78","0","algodao"
"39","MS","1977/78","45.600000000000001","algodao"
"40","MG","1977/78","121.3","algodao"
"41","PA","1977/78","0","algodao"
"42","PB","1977/78","566.79999999999995","algodao"
"43","PR","1977/78","290","algodao"
"44","PE","1977/78","278.80000000000001","algodao"
"45","PI","1977/78","127","algodao"
"46","RJ","1977/78","0","algodao"
"47","RN","1977/78","552.20000000000005","algodao"
"48","RS","1977/78","0","algodao"
"49","RO","1977/78","0","algodao"
"50","RR","1977/78","0","algodao"
"51","SC","1977/78","0","algodao"
"52","SP","1977/78","328","algodao"
"53","SE","1977/78","16.399999999999999","algodao"
"54","TO","1977/78","0","algodao"
"55","AC","1978/79","0","algodao"
"56","AL","1978/79","72.900000000000006","algodao"
"57","AP","1978/79","0","algodao"
"58","AM","1978/79","0","algodao"
"59","BA","1978/79","85.799999999999997","algodao"
"60","CE","1978/79","1256.8","algodao"
"61","DF","1978/79","0","algodao"
"62","ES","1978/79","0","algodao"
"63","GO","1978/79","35.100000000000001","algodao"
"64","MA","1978/79","51.100000000000001","algodao"
"65","MT","1978/79","5.2000000000000002","algodao"
"66","MS","1978/79","45.799999999999997","algodao"
"67","MG","1978/79","99.299999999999997","algodao"
"68","PA","1978/79","0","algodao"
"69","PB","1978/79","600","algodao"
"70","PR","1978/79","286","algodao"
"71","PE","1978/79","245.30000000000001","algodao"
"72","PI","1978/79","156.59999999999999","algodao"
"73","RJ","1978/79","0","algodao"
"74","RN","1978/79","389.39999999999998","algodao"
"75","RS","1978/79","0","algodao"
"76","RO","1978/79","0","algodao"
"77","RR","1978/79","0","algodao"
"78","SC","1978/79","0","algodao"
"79","SP","1978/79","273.89999999999998","algodao"
"80","SE","1978/79","20.399999999999999","algodao"
"81","TO","1978/79","0","algodao"
"82","AC","1979/80","0","algodao"
"83","AL","1979/80","81","algodao"
"84","AP","1979/80","0","algodao"
"85","AM","1979/80","0","algodao"
"86","BA","1979/80","76","algodao"
"87","CE","1979/80","1365","algodao"
"88","DF","1979/80","0","algodao"
"89","ES","1979/80","0","algodao"
"90","GO","1979/80","31.399999999999999","algodao"
"91","MA","1979/80","52","algodao"
"92","MT","1979/80","4.4000000000000004","algodao"
"93","MS","1979/80","44.399999999999999","algodao"
"94","MG","1979/80","90","algodao"
"95","PA","1979/80","0","algodao"
"96","PB","1979/80","638","algodao"
"97","PR","1979/80","336.69999999999999","algodao"
"98","PE","1979/80","271","algodao"
"99","PI","1979/80","165","algodao"
"100","RJ","1979/80","0","algodao"
"101","RN","1979/80","617","algodao"
"102","RS","1979/80","0","algodao"
"103","RO","1979/80","0","algodao"
"104","RR","1979/80","0","algodao"
"105","SC","1979/80","0","algodao"
"106","SP","1979/80","284","algodao"
"107","SE","1979/80","15","algodao"
"108","TO","1979/80","0","algodao"
"109","AC","1980/81","0","algodao"
"110","AL","1980/81","91","algodao"
"111","AP","1980/81","0","algodao"
"112","AM","1980/81","0","algodao"
"113","BA","1980/81","82.5","algodao"
"114","CE","1980/81","1436","algodao"
"115","DF","1980/81","0","algodao"
"116","ES","1980/81","0","algodao"
"117","GO","1980/81","38","algodao"
"118","MA","1980/81","59.799999999999997","algodao"
"119","MT","1980/81","6.5999999999999996","algodao"
"120","MS","1980/81","47","algodao"
"121","MG","1980/81","103","algodao"
"122","PA","1980/81","0","algodao"
"123","PB","1980/81","727","algodao"
"124","PR","1980/81","305.80000000000001","algodao"
"125","PE","1980/81","309","algodao"
"126","PI","1980/81","173","algodao"
"127","RJ","1980/81","0","algodao"
"128","RN","1980/81","440","algodao"
"129","RS","1980/81","0","algodao"
"130","RO","1980/81","0","algodao"
"131","RR","1980/81","0","algodao"
"132","SC","1980/81","0","algodao"
"133","SP","1980/81","303","algodao"
"134","SE","1980/81","15","algodao"
"135","TO","1980/81","0","algodao"
"136","AC","1981/82","0","algodao"
"137","AL","1981/82","86.5","algodao"
"138","AP","1981/82","0","algodao"
"139","AM","1981/82","0","algodao"
"140","BA","1981/82","58","algodao"
"141","CE","1981/82","1208.8","algodao"
"142","DF","1981/82","0","algodao"
"143","ES","1981/82","0","algodao"
"144","GO","1981/82","39","algodao"
"145","MA","1981/82","53.600000000000001","algodao"
"146","MT","1981/82","4.9000000000000004","algodao"
"147","MS","1981/82","41.799999999999997","algodao"
"148","MG","1981/82","95.799999999999997","algodao"
"149","PA","1981/82","10.199999999999999","algodao"
"150","PB","1981/82","660","algodao"
"151","PR","1981/82","373","algodao"
"152","PE","1981/82","200","algodao"
"153","PI","1981/82","200","algodao"
"154","RJ","1981/82","0","algodao"
"155","RN","1981/82","440","algodao"
"156","RS","1981/82","0","algodao"
"157","RO","1981/82","0","algodao"
"158","RR","1981/82","0","algodao"
"159","SC","1981/82","0","algodao"
"160","SP","1981/82","318","algodao"
"161","SE","1981/82","37","algodao"
"162","TO","1981/82","0","algodao"
"163","AC","1982/83","0","algodao"
"164","AL","1982/83","80.200000000000003","algodao"
"165","AP","1982/83","0","algodao"
"166","AM","1982/83","0","algodao"
"167","BA","1982/83","62.5","algodao"
"168","CE","1982/83","1147.5999999999999","algodao"
"169","DF","1982/83","0","algodao"
"170","ES","1982/83","0","algodao"
"171","GO","1982/83","37.399999999999999","algodao"
"172","MA","1982/83","32","algodao"
"173","MT","1982/83","4","algodao"
"174","MS","1982/83","43.5","algodao"
"175","MG","1982/83","85.299999999999997","algodao"
"176","PA","1982/83","12.6","algodao"
"177","PB","1982/83","560.79999999999995","algodao"
"178","PR","1982/83","443.39999999999998","algodao"
"179","PE","1982/83","162","algodao"
"180","PI","1982/83","194","algodao"
"181","RJ","1982/83","0","algodao"
"182","RN","1982/83","427.39999999999998","algodao"
"183","RS","1982/83","0","algodao"
"184","RO","1982/83","0","algodao"
"185","RR","1982/83","0","algodao"
"186","SC","1982/83","0","algodao"
"187","SP","1982/83","313.5","algodao"
"188","SE","1982/83","18.5","algodao"
"189","TO","1982/83","0","algodao"
"190","AC","1983/84","0","algodao"
"191","AL","1983/84","68.5","algodao"
"192","AP","1983/84","0","algodao"
"193","AM","1983/84","0","algodao"
"194","BA","1983/84","105","algodao"
"195","CE","1983/84","795","algodao"
"196","DF","1983/84","0","algodao"
"197","ES","1983/84","0","algodao"
"198","GO","1983/84","47","algodao"
"199","MA","1983/84","42","algodao"
"200","MT","1983/84","7","algodao"
"201","MS","1983/84","34.799999999999997","algodao"
"202","MG","1983/84","110","algodao"
"203","PA","1983/84","15","algodao"
"204","PB","1983/84","530","algodao"
"205","PR","1983/84","332.5","algodao"
"206","PE","1983/84","130","algodao"
"207","PI","1983/84","183","algodao"
"208","RJ","1983/84","0","algodao"
"209","RN","1983/84","440","algodao"
"210","RS","1983/84","0","algodao"
"211","RO","1983/84","0","algodao"
"212","RR","1983/84","0","algodao"
"213","SC","1983/84","0","algodao"
"214","SP","1983/84","244","algodao"
"215","SE","1983/84","23.5","algodao"
"216","TO","1983/84","0","algodao"
"217","AC","1984/85","0","algodao"
"218","AL","1984/85","80","algodao"
"219","AP","1984/85","0","algodao"
"220","AM","1984/85","0","algodao"
"221","BA","1984/85","129","algodao"
"222","CE","1984/85","810","algodao"
"223","DF","1984/85","0","algodao"
"224","ES","1984/85","0","algodao"
"225","GO","1984/85","64","algodao"
"226","MA","1984/85","36","algodao"
"227","MT","1984/85","15","algodao"
"228","MS","1984/85","67","algodao"
"229","MG","1984/85","155","algodao"
"230","PA","1984/85","8","algodao"
"231","PB","1984/85","530","algodao"
"232","PR","1984/85","540","algodao"
"233","PE","1984/85","160","algodao"
"234","PI","1984/85","204","algodao"
"235","RJ","1984/85","0","algodao"
"236","RN","1984/85","499","algodao"
"237","RS","1984/85","0","algodao"
"238","RO","1984/85","0","algodao"
"239","RR","1984/85","0","algodao"
"240","SC","1984/85","0","algodao"
"241","SP","1984/85","380","algodao"
"242","SE","1984/85","30","algodao"
"243","TO","1984/85","0","algodao"
"244","AC","1985/86","0","algodao"
"245","AL","1985/86","92","algodao"
"246","AP","1985/86","0","algodao"
"247","AM","1985/86","0","algodao"
"248","BA","1985/86","210","algodao"
"249","CE","1985/86","757.5","algodao"
"250","DF","1985/86","0","algodao"
"251","ES","1985/86","0","algodao"
"252","GO","1985/86","45","algodao"
"253","MA","1985/86","32.799999999999997","algodao"
"254","MT","1985/86","16.5","algodao"
"255","MS","1985/86","62","algodao"
"256","MG","1985/86","167.5","algodao"
"257","PA","1985/86","13","algodao"
"258","PB","1985/86","380","algodao"
"259","PR","1985/86","445","algodao"
"260","PE","1985/86","147","algodao"
"261","PI","1985/86","218","algodao"
"262","RJ","1985/86","0","algodao"
"263","RN","1985/86","340","algodao"
"264","RS","1985/86","0","algodao"
"265","RO","1985/86","0","algodao"
"266","RR","1985/86","0","algodao"
"267","SC","1985/86","0","algodao"
"268","SP","1985/86","356","algodao"
"269","SE","1985/86","43","algodao"
"270","TO","1985/86","0","algodao"
"271","AC","1986/87","0","algodao"
"272","AL","1986/87","57.700000000000003","algodao"
"273","AP","1986/87","0","algodao"
"274","AM","1986/87","0","algodao"
"275","BA","1986/87","178.80000000000001","algodao"
"276","CE","1986/87","368","algodao"
"277","DF","1986/87","0","algodao"
"278","ES","1986/87","0","algodao"
"279","GO","1986/87","35","algodao"
"280","MA","1986/87","23.600000000000001","algodao"
"281","MT","1986/87","14","algodao"
"282","MS","1986/87","52.700000000000003","algodao"
"283","MG","1986/87","147","algodao"
"284","PA","1986/87","13","algodao"
"285","PB","1986/87","157.30000000000001","algodao"
"286","PR","1986/87","392","algodao"
"287","PE","1986/87","83.299999999999997","algodao"
"288","PI","1986/87","200","algodao"
"289","RJ","1986/87","0","algodao"
"290","RN","1986/87","86.799999999999997","algodao"
"291","RS","1986/87","0","algodao"
"292","RO","1986/87","0","algodao"
"293","RR","1986/87","0","algodao"
"294","SC","1986/87","0","algodao"
"295","SP","1986/87","324","algodao"
"296","SE","1986/87","27.800000000000001","algodao"
"297","TO","1986/87","0","algodao"
"298","AC","1987/88","0","algodao"
"299","AL","1987/88","68.599999999999994","algodao"
"300","AP","1987/88","0","algodao"
"301","AM","1987/88","0","algodao"
"302","BA","1987/88","327","algodao"
"303","CE","1987/88","456","algodao"
"304","DF","1987/88","0","algodao"
"305","ES","1987/88","0","algodao"
"306","GO","1987/88","63.100000000000001","algodao"
"307","MA","1987/88","17","algodao"
"308","MT","1987/88","30","algodao"
"309","MS","1987/88","52.700000000000003","algodao"
"310","MG","1987/88","169","algodao"
"311","PA","1987/88","11","algodao"
"312","PB","1987/88","105","algodao"
"313","PR","1987/88","450.80000000000001","algodao"
"314","PE","1987/88","83.5","algodao"
"315","PI","1987/88","204","algodao"
"316","RJ","1987/88","0","algodao"
"317","RN","1987/88","158","algodao"
"318","RS","1987/88","0","algodao"
"319","RO","1987/88","3.2000000000000002","algodao"
"320","RR","1987/88","0","algodao"
"321","SC","1987/88","0","algodao"
"322","SP","1987/88","353","algodao"
"323","SE","1987/88","24.199999999999999","algodao"
"324","TO","1987/88","0","algodao"
"325","AC","1988/89","0","algodao"
"326","AL","1988/89","46","algodao"
"327","AP","1988/89","0","algodao"
"328","AM","1988/89","0","algodao"
"329","BA","1988/89","267","algodao"
"330","CE","1988/89","400","algodao"
"331","DF","1988/89","0","algodao"
"332","ES","1988/89","0","algodao"
"333","GO","1988/89","34.700000000000003","algodao"
"334","MA","1988/89","10.9","algodao"
"335","MT","1988/89","43.399999999999999","algodao"
"336","MS","1988/89","45","algodao"
"337","MG","1988/89","126.8","algodao"
"338","PA","1988/89","10.699999999999999","algodao"
"339","PB","1988/89","126.5","algodao"
"340","PR","1988/89","415","algodao"
"341","PE","1988/89","67","algodao"
"342","PI","1988/89","187","algodao"
"343","RJ","1988/89","0","algodao"
"344","RN","1988/89","148.5","algodao"
"345","RS","1988/89","0","algodao"
"346","RO","1988/89","15.5","algodao"
"347","RR","1988/89","0","algodao"
"348","SC","1988/89","0","algodao"
"349","SP","1988/89","271.80000000000001","algodao"
"350","SE","1988/89","13.800000000000001","algodao"
"351","TO","1988/89","0","algodao"
"352","AC","1989/90","0","algodao"
"353","AL","1989/90","15.800000000000001","algodao"
"354","AP","1989/90","0","algodao"
"355","AM","1989/90","0","algodao"
"356","BA","1989/90","198.40000000000001","algodao"
"357","CE","1989/90","288","algodao"
"358","DF","1989/90","0","algodao"
"359","ES","1989/90","0","algodao"
"360","GO","1989/90","47.200000000000003","algodao"
"361","MA","1989/90","3","algodao"
"362","MT","1989/90","43","algodao"
"363","MS","1989/90","42.700000000000003","algodao"
"364","MG","1989/90","114.09999999999999","algodao"
"365","PA","1989/90","8.1999999999999993","algodao"
"366","PB","1989/90","80","algodao"
