"","UF","ano","rend","name"
"1","AC","1976/77","0","algodao"
"2","AL","1976/77","30","algodao"
"3","AP","1976/77","0","algodao"
"4","AM","1976/77","0","algodao"
"5","BA","1976/77","30.04291845493562","algodao"
"6","CE","1976/77","30.004286326618086","algodao"
"7","DF","1976/77","0","algodao"
"8","ES","1976/77","0","algodao"
"9","GO","1976/77","34.987593052109183","algodao"
"10","MA","1976/77","29.850746268656714","algodao"
"11","MT","1976/77","0","algodao"
"12","MS","1976/77","34.966592427616931","algodao"
"13","MG","1976/77","34.994337485843715","algodao"
"14","PA","1976/77","0","algodao"
"15","PB","1976/77","29.991431019708653","algodao"
"16","PR","1976/77","34.991119005328599","algodao"
"17","PE","1976/77","30.012004801920771","algodao"
"18","PI","1976/77","30.075187969924812","algodao"
"19","RJ","1976/77","0","algodao"
"20","RN","1976/77","29.940119760479039","algodao"
"21","RS","1976/77","0","algodao"
"22","RO","1976/77","0","algodao"
"23","RR","1976/77","0","algodao"
"24","SC","1976/77","0","algodao"
"25","SP","1976/77","34.99729681023608","algodao"
"26","SE","1976/77","30.303030303030305","algodao"
"27","TO","1976/77","0","algodao"
"28","AC","1977/78","0","algodao"
"29","AL","1977/78","30.11363636363636","algodao"
"30","AP","1977/78","0","algodao"
"31","AM","1977/78","0","algodao"
"32","BA","1977/78","30","algodao"
"33","CE","1977/78","30.003769317753481","algodao"
"34","DF","1977/78","0","algodao"
"35","ES","1977/78","0","algodao"
"36","GO","1977/78","35.016835016835017","algodao"
"37","MA","1977/78","30","algodao"
"38","MT","1977/78","0","algodao"
"39","MS","1977/78","34.97942386831275","algodao"
"40","MG","1977/78","35.033259423503324","algodao"
"41","PA","1977/78","0","algodao"
"42","PB","1977/78","30.060120240480963","algodao"
"43","PR","1977/78","35","algodao"
"44","PE","1977/78","30.050083472454091","algodao"
"45","PI","1977/78","29.953917060791198","algodao"
"46","RJ","1977/78","0","algodao"
"47","RN","1977/78","29.988465974625143","algodao"
"48","RS","1977/78","0","algodao"
"49","RO","1977/78","0","algodao"
"50","RR","1977/78","0","algodao"
"51","SC","1977/78","0","algodao"
"52","SP","1977/78","34.990934990934988","algodao"
"53","SE","1977/78","29.72972972972973","algodao"
"54","TO","1977/78","0","algodao"
"55","AC","1978/79","0","algodao"
"56","AL","1978/79","29.885057471264371","algodao"
"57","AP","1978/79","0","algodao"
"58","AM","1978/79","0","algodao"
"59","BA","1978/79","30","algodao"
"60","CE","1978/79","30","algodao"
"61","DF","1978/79","0","algodao"
"62","ES","1978/79","0","algodao"
"63","GO","1978/79","35","algodao"
"64","MA","1978/79","30","algodao"
"65","MT","1978/79","35.294117647058826","algodao"
"66","MS","1978/79","34.984025559105433","algodao"
"67","MG","1978/79","34.984025559105433","algodao"
"68","PA","1978/79","0","algodao"
"69","PB","1978/79","29.976019184652277","algodao"
"70","PR","1978/79","35.003092145949289","algodao"
"71","PE","1978/79","30.05464480874317","algodao"
"72","PI","1978/79","30","algodao"
"73","RJ","1978/79","0","algodao"
"74","RN","1978/79","30.237580993520517","algodao"
"75","RS","1978/79","0","algodao"
"76","RO","1978/79","0","algodao"
"77","RR","1978/79","0","algodao"
"78","SC","1978/79","0","algodao"
"79","SP","1978/79","35.006095083299478","algodao"
"80","SE","1978/79","30","algodao"
"81","TO","1978/79","0","algodao"
"82","AC","1979/80","0","algodao"
"83","AL","1979/80","29.850746268656714","algodao"
"84","AP","1979/80","0","algodao"
"85","AM","1979/80","0","algodao"
"86","BA","1979/80","30.042016806722689","algodao"
"87","CE","1979/80","30.071077091306726","algodao"
"88","DF","1979/80","0","algodao"
"89","ES","1979/80","0","algodao"
"90","GO","1979/80","35.018726591760299","algodao"
"91","MA","1979/80","30","algodao"
"92","MT","1979/80","35","algodao"
"93","MS","1979/80","34.992223950233281","algodao"
"94","MG","1979/80","34.972677595628419","algodao"
"95","PA","1979/80","0","algodao"
"96","PB","1979/80","30.113636363636363","algodao"
"97","PR","1979/80","36.010037641154327","algodao"
"98","PE","1979/80","30.04291845493562","algodao"
"99","PI","1979/80","30","algodao"
"100","RJ","1979/80","0","algodao"
"101","RN","1979/80","30.26634382566586","algodao"
"102","RS","1979/80","0","algodao"
"103","RO","1979/80","0","algodao"
"104","RR","1979/80","0","algodao"
"105","SC","1979/80","0","algodao"
"106","SP","1979/80","35.999194198227237","algodao"
"107","SE","1979/80","29.166666666666668","algodao"
"108","TO","1979/80","0","algodao"
"109","AC","1980/81","0","algodao"
"110","AL","1980/81","30","algodao"
"111","AP","1980/81","0","algodao"
"112","AM","1980/81","0","algodao"
"113","BA","1980/81","34.913793103448278","algodao"
"114","CE","1980/81","30.103480714957669","algodao"
"115","DF","1980/81","0","algodao"
"116","ES","1980/81","0","algodao"
"117","GO","1980/81","35.014005602240893","algodao"
"118","MA","1980/81","29.861111111111111","algodao"
"119","MT","1980/81","35","algodao"
"120","MS","1980/81","35","algodao"
"121","MG","1980/81","35","algodao"
"122","PA","1980/81","0","algodao"
"123","PB","1980/81","30.053908355795151","algodao"
"124","PR","1980/81","36.004846806300847","algodao"
"125","PE","1980/81","29.906542056074763","algodao"
"126","PI","1980/81","30.057803468208093","algodao"
"127","RJ","1980/81","0","algodao"
"128","RN","1980/81","29.95495495495496","algodao"
"129","RS","1980/81","0","algodao"
"130","RO","1980/81","0","algodao"
"131","RR","1980/81","0","algodao"
"132","SC","1980/81","0","algodao"
"133","SP","1980/81","35.995721162417546","algodao"
"134","SE","1980/81","30","algodao"
"135","TO","1980/81","0","algodao"
"136","AC","1981/82","0","algodao"
"137","AL","1981/82","30","algodao"
"138","AP","1981/82","0","algodao"
"139","AM","1981/82","0","algodao"
"140","BA","1981/82","34.949494949494955","algodao"
"141","CE","1981/82","29.957203994293863","algodao"
"142","DF","1981/82","0","algodao"
"143","ES","1981/82","0","algodao"
"144","GO","1981/82","34.976152623211448","algodao"
"145","MA","1981/82","30.172413793103448","algodao"
"146","MT","1981/82","35.294117647058826","algodao"
"147","MS","1981/82","35.016286644951137","algodao"
"148","MG","1981/82","35","algodao"
"149","PA","1981/82","30","algodao"
"150","PB","1981/82","29.792746113989637","algodao"
"151","PR","1981/82","35.996189439303215","algodao"
"152","PE","1981/82","29.901960784313726","algodao"
"153","PI","1981/82","30.097087378640776","algodao"
"154","RJ","1981/82","0","algodao"
"155","RN","1981/82","29.948364888123919","algodao"
"156","RS","1981/82","0","algodao"
"157","RO","1981/82","0","algodao"
"158","RR","1981/82","0","algodao"
"159","SC","1981/82","0","algodao"
"160","SP","1981/82","35.997040325564186","algodao"
"161","SE","1981/82","29.850746268656714","algodao"
"162","TO","1981/82","0","algodao"
"163","AC","1982/83","0","algodao"
"164","AL","1982/83","30","algodao"
"165","AP","1982/83","0","algodao"
"166","AM","1982/83","0","algodao"
"167","BA","1982/83","34.8968106075666","algodao"
"168","CE","1982/83","30.03003003003003","algodao"
"169","DF","1982/83","0","algodao"
"170","ES","1982/83","0","algodao"
"171","GO","1982/83","35","algodao"
"172","MA","1982/83","30","algodao"
"173","MT","1982/83","35.714285714285715","algodao"
"174","MS","1982/83","35.07340946166395","algodao"
"175","MG","1982/83","35","algodao"
"176","PA","1982/83","30.120481927710841","algodao"
"177","PB","1982/83","29.950495049504948","algodao"
"178","PR","1982/83","35.993208828522924","algodao"
"179","PE","1982/83","30.303030303030305","algodao"
"180","PI","1982/83","29.885057471264371","algodao"
"181","RJ","1982/83","0","algodao"
"182","RN","1982/83","29.92700729927007","algodao"
"183","RS","1982/83","0","algodao"
"184","RO","1982/83","0","algodao"
"185","RR","1982/83","0","algodao"
"186","SC","1982/83","0","algodao"
"187","SP","1982/83","35.998298958111846","algodao"
"188","SE","1982/83","30.303030303030305","algodao"
"189","TO","1982/83","0","algodao"
"190","AC","1983/84","0","algodao"
"191","AL","1983/84","29.951690821256037","algodao"
"192","AP","1983/84","0","algodao"
"193","AM","1983/84","0","algodao"
"194","BA","1983/84","34.809160305343511","algodao"
"195","CE","1983/84","30.007886435331226","algodao"
"196","DF","1983/84","0","algodao"
"197","ES","1983/84","0","algodao"
"198","GO","1983/84","35.005336179295618","algodao"
"199","MA","1983/84","30.434782608695656","algodao"
"200","MT","1983/84","34.6938775510204","algodao"
"201","MS","1983/84","35.034013605442183","algodao"
"202","MG","1983/84","34.993773349937733","algodao"
"203","PA","1983/84","30.303030303030305","algodao"
"204","PB","1983/84","30","algodao"
"205","PR","1983/84","36.00466511162945","algodao"
"206","PE","1983/84","30","algodao"
"207","PI","1983/84","30.03003003003003","algodao"
"208","RJ","1983/84","0","algodao"
"209","RN","1983/84","29.931972789115648","algodao"
"210","RS","1983/84","0","algodao"
"211","RO","1983/84","0","algodao"
"212","RR","1983/84","0","algodao"
"213","SC","1983/84","0","algodao"
"214","SP","1983/84","36.006320363420897","algodao"
"215","SE","1983/84","29.508196721311482","algodao"
"216","TO","1983/84","0","algodao"
"217","AC","1984/85","0","algodao"
"218","AL","1984/85","31.03448275862069","algodao"
"219","AP","1984/85","0","algodao"
"220","AM","1984/85","0","algodao"
"221","BA","1984/85","34.965034965034967","algodao"
"222","CE","1984/85","31.019656019656018","algodao"
"223","DF","1984/85","0","algodao"
"224","ES","1984/85","0","algodao"
"225","GO","1984/85","35.021459227467808","algodao"
"226","MA","1984/85","30.263157894736842","algodao"
"227","MT","1984/85","35.238095238095241","algodao"
"228","MS","1984/85","35.027223230490016","algodao"
"229","MG","1984/85","34.997503744383415","algodao"
"230","PA","1984/85","31.25","algodao"
"231","PB","1984/85","30.914368650217703","algodao"
"232","PR","1984/85","35.9976719371423","algodao"
"233","PE","1984/85","31.025641025641026","algodao"
"234","PI","1984/85","30.933333333333334","algodao"
"235","RJ","1984/85","0","algodao"
"236","RN","1984/85","30.891719745222929","algodao"
"237","RS","1984/85","0","algodao"
"238","RO","1984/85","0","algodao"
"239","RR","1984/85","0","algodao"
"240","SC","1984/85","0","algodao"
"241","SP","1984/85","36.002279526998151","algodao"
"242","SE","1984/85","30.851063829787233","algodao"
"243","TO","1984/85","0","algodao"
"244","AC","1985/86","0","algodao"
"245","AL","1985/86","30.962343096234314","algodao"
"246","AP","1985/86","0","algodao"
"247","AM","1985/86","0","algodao"
"248","BA","1985/86","34.925642181162686","algodao"
"249","CE","1985/86","30.972222222222221","algodao"
"250","DF","1985/86","0","algodao"
"251","ES","1985/86","0","algodao"
"252","GO","1985/86","35.026455026455025","algodao"
"253","MA","1985/86","31.632653061224485","algodao"
"254","MT","1985/86","35","algodao"
"255","MS","1985/86","34.979838709677416","algodao"
"256","MG","1985/86","35.018270401948847","algodao"
"257","PA","1985/86","30.666666666666664","algodao"
"258","PB","1985/86","31.141868512110726","algodao"
"259","PR","1985/86","35.995184590690208","algodao"
"260","PE","1985/86","31.060606060606062","algodao"
"261","PI","1985/86","30.997304582210241","algodao"
"262","RJ","1985/86","0","algodao"
"263","RN","1985/86","30.927835051546392","algodao"
"264","RS","1985/86","0","algodao"
"265","RO","1985/86","0","algodao"
"266","RR","1985/86","0","algodao"
"267","SC","1985/86","0","algodao"
"268","SP","1985/86","35.006416654783976","algodao"
"269","SE","1985/86","31.007751937984494","algodao"
"270","TO","1985/86","0","algodao"
"271","AC","1986/87","0","algodao"
"272","AL","1986/87","30.864197530864203","algodao"
"273","AP","1986/87","0","algodao"
"274","AM","1986/87","0","algodao"
"275","BA","1986/87","35.026737967914436","algodao"
"276","CE","1986/87","30.973451327433633","algodao"
"277","DF","1986/87","0","algodao"
"278","ES","1986/87","0","algodao"
"279","GO","1986/87","35","algodao"
"280","MA","1986/87","31.25","algodao"
"281","MT","1986/87","34.821428571428577","algodao"
"282","MS","1986/87","35.046113306982875","algodao"
"283","MG","1986/87","34.957627118644062","algodao"
"284","PA","1986/87","30.303030303030305","algodao"
"285","PB","1986/87","31.088082901554404","algodao"
"286","PR","1986/87","36.00172463351538","algodao"
"287","PE","1986/87","31.25","algodao"
"288","PI","1986/87","30.927835051546392","algodao"
"289","RJ","1986/87","0","algodao"
"290","RN","1986/87","30.76923076923077","algodao"
"291","RS","1986/87","0","algodao"
"292","RO","1986/87","0","algodao"
"293","RR","1986/87","0","algodao"
"294","SC","1986/87","0","algodao"
"295","SP","1986/87","35.005776530780658","algodao"
"296","SE","1986/87","31.25","algodao"
"297","TO","1986/87","0","algodao"
"298","AC","1987/88","0","algodao"
"299","AL","1987/88","31.067961165048541","algodao"
"300","AP","1987/88","0","algodao"
"301","AM","1987/88","0","algodao"
"302","BA","1987/88","35.003825554705436","algodao"
"303","CE","1987/88","31.010180109631953","algodao"
"304","DF","1987/88","0","algodao"
"305","ES","1987/88","0","algodao"
"306","GO","1987/88","35.035211267605632","algodao"
"307","MA","1987/88","31.818181818181813","algodao"
"308","MT","1987/88","35.128205128205124","algodao"
"309","MS","1987/88","34.967741935483872","algodao"
"310","MG","1987/88","34.982332155477032","algodao"
"311","PA","1987/88","30.303030303030305","algodao"
"312","PB","1987/88","30.952380952380953","algodao"
"313","PR","1987/88","36","algodao"
"314","PE","1987/88","30.857142857142861","algodao"
"315","PI","1987/88","30.930930930930934","algodao"
"316","RJ","1987/88","0","algodao"
"317","RN","1987/88","31.0126582278481","algodao"
"318","RS","1987/88","0","algodao"
"319","RO","1987/88","31.372549019607849","algodao"
"320","RR","1987/88","0","algodao"
"321","SC","1987/88","0","algodao"
"322","SP","1987/88","34.995098725668669","algodao"
"323","SE","1987/88","31.034482758620697","algodao"
"324","TO","1987/88","0","algodao"
"325","AC","1988/89","0","algodao"
"326","AL","1988/89","30.833333333333336","algodao"
"327","AP","1988/89","0","algodao"
"328","AM","1988/89","0","algodao"
"329","BA","1988/89","34.89208633093525","algodao"
"330","CE","1988/89","31.022727272727273","algodao"
"331","DF","1988/89","0","algodao"
"332","ES","1988/89","0","algodao"
"333","GO","1988/89","35","algodao"
"334","MA","1988/89","30","algodao"
"335","MT","1988/89","34.929078014184398","algodao"
"336","MS","1988/89","34.91655969191271","algodao"
"337","MG","1988/89","34.965986394557824","algodao"
"338","PA","1988/89","31.25","algodao"
"339","PB","1988/89","30.864197530864196","algodao"
"340","PR","1988/89","35.995528505775681","algodao"
"341","PE","1988/89","31.205673758865249","algodao"
"342","PI","1988/89","30.916030534351147","algodao"
"343","RJ","1988/89","0","algodao"
"344","RN","1988/89","30.909090909090907","algodao"
"345","RS","1988/89","0","algodao"
"346","RO","1988/89","31.048387096774192","algodao"
"347","RR","1988/89","0","algodao"
"348","SC","1988/89","0","algodao"
"349","SP","1988/89","35.001867762420623","algodao"
"350","SE","1988/89","30.76923076923077","algodao"
"351","TO","1988/89","0","algodao"
"352","AC","1989/90","0","algodao"
"353","AL","1989/90","32.352941176470587","algodao"
"354","AP","1989/90","0","algodao"
"355","AM","1989/90","0","algodao"
"356","BA","1989/90","35.040650406504064","algodao"
"357","CE","1989/90","30.914826498422716","algodao"
"358","DF","1989/90","0","algodao"
"359","ES","1989/90","0","algodao"
"360","GO","1989/90","34.970059880239518","algodao"
"361","MA","1989/90","25","algodao"
"362","MT","1989/90","34.991423670668951","algodao"
"363","MS","1989/90","35","algodao"
"364","MG","1989/90","35.036496350364963","algodao"
"365","PA","1989/90","29.787234042553191","algodao"
"366","PB","1989/90","31.25","algodao"
"367","PR","1989/90","36.007462686567166","algodao"
"368","PE","1989/90","30.188679245283023","algodao"
"369","PI","1989/90","30.76923076923077","algodao"
"370","RJ","1989/90","0","algodao"
"371","RN","1989/90","31.313131313131315","algodao"
"372","RS","1989/90","0","algodao"
"373","RO","1989/90","31.048387096774192","algodao"
"374","RR","1989/90","0","algodao"
"375","SC","1989/90","0","algodao"
"376","SP","1989/90","35.006326444538175","algodao"
"377","SE","1989/90","31.25","algodao"
"378","TO","1989/90","0","algodao"
"379","AC","1990/91","0","algodao"
"380","AL","1990/91","31.428571428571434","algodao"
"381","AP","1990/91","0","algodao"
"382","AM","1990/91","0","algodao"
"383","BA","1990/91","35.003855050115654","algodao"
"384","CE","1990/91","31","algodao"
"385","DF","1990/91","0","algodao"
"386","ES","1990/91","0","algodao"
"387","GO","1990/91","34.989858012170387","algodao"
"388","MA","1990/91","25","algodao"
"389","MT","1990/91","36.592178770949715","algodao"
"390","MS","1990/91","35.667963683527887","algodao"
"391","MG","1990/91","34.995296331138292","algodao"
"392","PA","1990/91","30.434782608695656","algodao"
"393","PB","1990/91","31.051344743276282","algodao"
"394","PR","1990/91","34.99745805795628","algodao"
"395","PE","1990/91","31.313131313131315","algodao"
"396","PI","1990/91","30.985915492957751","algodao"
"397","RJ","1990/91","0","algodao"
"398","RN","1990/91","30.99273607748184","algodao"
"399","RS","1990/91","0","algodao"
"400","RO","1990/91","31.048387096774192","algodao"
"401","RR","1990/91","0","algodao"
"402","SC","1990/91","0","algodao"
"403","SP","1990/91","34.343723191306836","algodao"
"404","SE","1990/91","27.27272727272727","algodao"
"405","TO","1990/91","0","algodao"
"406","AC","1991/92","0","algodao"
"407","AL","1991/92","30.64516129032258","algodao"
"408","AP","1991/92","0","algodao"
"409","AM","1991/92","0","algodao"
"410","BA","1991/92","35.03772003352892","algodao"
"411","CE","1991/92","31.044776119402982","algodao"
"412","DF","1991/92","0","algodao"
"413","ES","1991/92","0","algodao"
"414","GO","1991/92","34.952606635071085","algodao"
"415","MA","1991/92","25","algodao"
"416","MT","1991/92","34.970760233918128","algodao"
"417","MS","1991/92","34.962805526036135","algodao"
"418","MG","1991/92","35.018963337547412","algodao"
"419","PA","1991/92","30","algodao"
"420","PB","1991/92","30.952380952380953","algodao"
"421","PR","1991/92","35.001567234353779","algodao"
"422","PE","1991/92","31.168831168831169","algodao"
"423","PI","1991/92","31","algodao"
"424","RJ","1991/92","0","algodao"
"425","RN","1991/92","31.0126582278481","algodao"
"426","RS","1991/92","0","algodao"
"427","RO","1991/92","31.125827814569533","algodao"
"428","RR","1991/92","0","algodao"
"429","SC","1991/92","0","algodao"
"430","SP","1991/92","35.001337971634996","algodao"
"431","SE","1991/92","33.333333333333329","algodao"
"432","TO","1991/92","30","algodao"
"433","AC","1992/93","0","algodao"
"434","AL","1992/93","33.333333333333329","algodao"
"435","AP","1992/93","0","algodao"
"436","AM","1992/93","0","algodao"
"437","BA","1992/93","35.017221584385766","algodao"
"438","CE","1992/93","31.03448275862069","algodao"
"439","DF","1992/93","0","algodao"
"440","ES","1992/93","0","algodao"
"441","GO","1992/93","35.019455252918291","algodao"
"442","MA","1992/93","33.333333333333336","algodao"
"443","MT","1992/93","35","algodao"
"444","MS","1992/93","35.008665511265164","algodao"
"445","MG","1992/93","34.967741935483872","algodao"
"446","PA","1992/93","0","algodao"
"447","PB","1992/93","30","algodao"
"448","PR","1992/93","35.996896819239716","algodao"
"449","PE","1992/93","33.333333333333329","algodao"
"450","PI","1992/93","31","algodao"
"451","RJ","1992/93","0","algodao"
"452","RN","1992/93","30","algodao"
"453","RS","1992/93","0","algodao"
"454","RO","1992/93","31","algodao"
"455","RR","1992/93","0","algodao"
"456","SC","1992/93","0","algodao"
"457","SP","1992/93","35.021500238891541","algodao"
"458","SE","1992/93","0","algodao"
"459","TO","1992/93","30","algodao"
"460","AC","1993/94","0","algodao"
"461","AL","1993/94","31.851851851851848","algodao"
"462","AP","1993/94","0","algodao"
"463","AM","1993/94","0","algodao"
"464","BA","1993/94","34.034560480841471","algodao"
"465","CE","1993/94","32.004689331770223","algodao"
"466","DF","1993/94","0","algodao"
"467","ES","1993/94","0","algodao"
"468","GO","1993/94","34.003831417624518","algodao"
"469","MA","1993/94","33.333333333333336","algodao"
"470","MT","1993/94","34.016393442622949","algodao"
"471","MS","1993/94","33.978234582829501","algodao"
"472","MG","1993/94","33.979328165374682","algodao"
"473","PA","1993/94","33.333333333333329","algodao"
"474","PB","1993/94","32.124352331606218","algodao"
"475","PR","1993/94","34.007438400743844","algodao"
"476","PE","1993/94","32.20338983050847","algodao"
"477","PI","1993/94","32.029339853300733","algodao"
"478","RJ","1993/94","0","algodao"
"479","RN","1993/94","31.907894736842103","algodao"
"480","RS","1993/94","0","algodao"
"481","RO","1993/94","33.87096774193548","algodao"
"482","RR","1993/94","0","algodao"
"483","SC","1993/94","0","algodao"
"484","SP","1993/94","34","algodao"
"485","SE","1993/94","32.142857142857146","algodao"
"486","TO","1993/94","0","algodao"
"487","AC","1994/95","0","algodao"
"488","AL","1994/95","35.714285714285715","algodao"
"489","AP","1994/95","0","algodao"
"490","AM","1994/95","0","algodao"
"491","BA","1994/95","34.989200863930883","algodao"
"492","CE","1994/95","34.959349593495936","algodao"
"493","DF","1994/95","0","algodao"
"494","ES","1994/95","0","algodao"
"495","GO","1994/95","34.99662845583277","algodao"
"496","MA","1994/95","0","algodao"
"497","MT","1994/95","35.013501350135016","algodao"
"498","MS","1994/95","34.972677595628419","algodao"
"499","MG","1994/95","35.019455252918291","algodao"
"500","PA","1994/95","35.483870967741936","algodao"
"501","PB","1994/95","35.071090047393369","algodao"
"502","PR","1994/95","35","algodao"
"503","PE","1994/95","34.579439252336449","algodao"
"504","PI","1994/95","34.883720930232556","algodao"
"505","RJ","1994/95","0","algodao"
"506","RN","1994/95","34.868421052631582","algodao"
"507","RS","1994/95","0","algodao"
"508","RO","1994/95","35","algodao"
"509","RR","1994/95","0","algodao"
"510","SC","1994/95","0","algodao"
"511","SP","1994/95","35.012594458438286","algodao"
"512","SE","1994/95","35.714285714285715","algodao"
"513","TO","1994/95","0","algodao"
"514","AC","1995/96","0","algodao"
"515","AL","1995/96","34.6938775510204","algodao"
"516","AP","1995/96","0","algodao"
"517","AM","1995/96","0","algodao"
"518","BA","1995/96","35.046113306982875","algodao"
"519","CE","1995/96","35","algodao"
"520","DF","1995/96","0","algodao"
"521","ES","1995/96","0","algodao"
"522","GO","1995/96","34.979179060083283","algodao"
"523","MA","1995/96","0","algodao"
"524","MT","1995/96","34.952481520591341","algodao"
"525","MS","1995/96","35.034347399411189","algodao"
"526","MG","1995/96","34.947049924357039","algodao"
"527","PA","1995/96","35.483870967741936","algodao"
"528","PB","1995/96","34.883720930232556","algodao"
"529","PR","1995/96","34.992679355783309","algodao"
"530","PE","1995/96","34.939759036144572","algodao"
"531","PI","1995/96","34.962406015037594","algodao"
"532","RJ","1995/96","0","algodao"
"533","RN","1995/96","35","algodao"
"534","RS","1995/96","0","algodao"
"535","RO","1995/96","35.099337748344368","algodao"
"536","RR","1995/96","0","algodao"
"537","SC","1995/96","0","algodao"
"538","SP","1995/96","34.988962472406179","algodao"
"539","SE","1995/96","37.5","algodao"
"540","TO","1995/96","0","algodao"
"541","AC","1996/97","0","algodao"
"542","AL","1996/97","35.185185185185183","algodao"
"543","AP","1996/97","0","algodao"
"544","AM","1996/97","0","algodao"
"545","BA","1996/97","34.969325153374228","algodao"
"546","CE","1996/97","35","algodao"
"547","DF","1996/97","0","algodao"
"548","ES","1996/97","0","algodao"
"549","GO","1996/97","34.997478567826526","algodao"
"550","MA","1996/97","0","algodao"
"551","MT","1996/97","35.010060362173043","algodao"
"552","MS","1996/97","34.937611408199643","algodao"
"553","MG","1996/97","34.950248756218905","algodao"
"554","PA","1996/97","33.333333333333329","algodao"
"555","PB","1996/97","34.911242603550299","algodao"
"556","PR","1996/97","35.008665511265164","algodao"
"557","PE","1996/97","35","algodao"
"558","PI","1996/97","34.939759036144572","algodao"
"559","RJ","1996/97","0","algodao"
"560","RN","1996/97","34.838709677419352","algodao"
"561","RS","1996/97","0","algodao"
"562","RO","1996/97","35.38461538461538","algodao"
"563","RR","1996/97","0","algodao"
"564","SC","1996/97","0","algodao"
"565","SP","1996/97","35.006435006435005","algodao"
"566","SE","1996/97","35.714285714285715","algodao"
"567","TO","1996/97","0","algodao"
"568","AC","1997/98","0","algodao"
"569","AL","1997/98","35","algodao"
"570","AP","1997/98","0","algodao"
"571","AM","1997/98","0","algodao"
"572","BA","1997/98","34.920634920634917","algodao"
"573","CE","1997/98","34.939759036144572","algodao"
"574","DF","1997/98","0","algodao"
"575","ES","1997/98","0","algodao"
"576","GO","1997/98","35.004042037186736","algodao"
"577","MA","1997/98","0","algodao"
"578","MT","1997/98","34.992570579494803","algodao"
"579","MS","1997/98","35.016111707841034","algodao"
"580","MG","1997/98","35.008517887563883","algodao"
"581","PA","1997/98","33.333333333333329","algodao"
"582","PB","1997/98","33.333333333333329","algodao"
"583","PR","1997/98","35.016286644951144","algodao"
"584","PE","1997/98","36.363636363636367","algodao"
"585","PI","1997/98","35.294117647058819","algodao"
"586","RJ","1997/98","0","algodao"
"587","RN","1997/98","33.333333333333336","algodao"
"588","RS","1997/98","0","algodao"
"589","RO","1997/98","35.294117647058826","algodao"
"590","RR","1997/98","0","algodao"
"591","SC","1997/98","0","algodao"
"592","SP","1997/98","35.007849293563574","algodao"
"593","SE","1997/98","33.333333333333329","algodao"
"594","TO","1997/98","0","algodao"
"595","AC","1998/99","0","algodao"
"596","AL","1998/99","35","algodao"
"597","AP","1998/99","0","algodao"
"598","AM","1998/99","0","algodao"
"599","BA","1998/99","34.988179669030743","algodao"
"600","CE","1998/99","35.011990407673856","algodao"
"601","DF","1998/99","0","algodao"
"602","ES","1998/99","0","algodao"
"603","GO","1998/99","35.009451795841208","algodao"
"604","MA","1998/99","0","algodao"
"605","MT","1998/99","37.495859556144424","algodao"
"606","MS","1998/99","35.989932885906043","algodao"
"607","MG","1998/99","34.987893462469735","algodao"
"608","PA","1998/99","0","algodao"
"609","PB","1998/99","34.782608695652172","algodao"
"610","PR","1998/99","35.018050541516246","algodao"
"611","PE","1998/99","36.363636363636367","algodao"
"612","PI","1998/99","35.555555555555557","algodao"
"613","RJ","1998/99","0","algodao"
