"","PRODUTO","ano","rend","name"
"1","ALGODÃO - CAROÇO","1976/77","1176","producao"
"2","AMENDOIM TOTAL","1976/77","314.30000000000001","producao"
"3","AMENDOIM 1ª SAFRA","1976/77","231.80000000000001","producao"
"4","AMENDOIM 2ª SAFRA","1976/77","82.5","producao"
"5","ARROZ","1976/77","8993.2999999999993","producao"
"6","AVEIA","1976/77","37.399999999999999","producao"
"7","CANOLA","1976/77","0","producao"
"8","CENTEIO","1976/77","8.3000000000000007","producao"
"9","CEVADA","1976/77","95.299999999999997","producao"
"10","FEIJÃO TOTAL","1976/77","2215.1999999999998","producao"
"11","FEIJÃO 1ª SAFRA","1976/77","935","producao"
"12","FEIJÃO 2ª SAFRA","1976/77","1280.2","producao"
"13","FEIJÃO 3ª SAFRA","1976/77","0","producao"
"14","GIRASSOL","1976/77","0","producao"
"15","MAMONA","1976/77","201.5","producao"
"16","MILHO TOTAL","1976/77","19255.727999999999","producao"
"17","MILHO 1ª SAFRA","1976/77","19255.727999999999","producao"
"18","MILHO 2ª SAFRA","1976/77","0","producao"
"19","SOJA","1976/77","12145","producao"
"20","SORGO","1976/77","435.10000000000002","producao"
"21","TRIGO","1976/77","2066","producao"
"22","TRITICALE","1976/77","0","producao"
"23","BRASIL","1976/77","46943.12799999999","producao"
"24","ALGODÃO - CAROÇO","1977/78","989.5","producao"
"25","AMENDOIM TOTAL","1977/78","342.39999999999998","producao"
"26","AMENDOIM 1ª SAFRA","1977/78","275.80000000000001","producao"
"27","AMENDOIM 2ª SAFRA","1977/78","66.599999999999994","producao"
"28","ARROZ","1977/78","7296","producao"
"29","AVEIA","1977/78","53.899999999999999","producao"
"30","CANOLA","1977/78","0","producao"
"31","CENTEIO","1977/78","7.2999999999999998","producao"
"32","CEVADA","1977/78","143.90000000000001","producao"
"33","FEIJÃO TOTAL","1977/78","2337.3000000000002","producao"
"34","FEIJÃO 1ª SAFRA","1977/78","1179.5999999999999","producao"
"35","FEIJÃO 2ª SAFRA","1977/78","1157.7","producao"
"36","FEIJÃO 3ª SAFRA","1977/78","0","producao"
"37","GIRASSOL","1977/78","0","producao"
"38","MAMONA","1977/78","392.5","producao"
"39","MILHO TOTAL","1977/78","14017.063","producao"
"40","MILHO 1ª SAFRA","1977/78","14017.063","producao"
"41","MILHO 2ª SAFRA","1977/78","0","producao"
"42","SOJA","1977/78","9726","producao"
"43","SORGO","1977/78","227.5","producao"
"44","TRIGO","1977/78","2680","producao"
"45","TRITICALE","1977/78","0","producao"
"46","BRASIL","1977/78","38213.362999999998","producao"
"47","ALGODÃO - CAROÇO","1978/79","1075.3","producao"
"48","AMENDOIM TOTAL","1978/79","458.39999999999998","producao"
"49","AMENDOIM 1ª SAFRA","1978/79","322.80000000000001","producao"
"50","AMENDOIM 2ª SAFRA","1978/79","135.59999999999999","producao"
"51","ARROZ","1978/79","7589.8999999999996","producao"
"52","AVEIA","1978/79","57.600000000000001","producao"
"53","CANOLA","1978/79","0","producao"
"54","CENTEIO","1978/79","8.5","producao"
"55","CEVADA","1978/79","97.099999999999994","producao"
"56","FEIJÃO TOTAL","1978/79","2225.4000000000001","producao"
"57","FEIJÃO 1ª SAFRA","1978/79","1054.5","producao"
"58","FEIJÃO 2ª SAFRA","1978/79","1170.9000000000001","producao"
"59","FEIJÃO 3ª SAFRA","1978/79","0","producao"
"60","GIRASSOL","1978/79","0","producao"
"61","MAMONA","1978/79","345.80000000000001","producao"
"62","MILHO TOTAL","1978/79","16513.828000000001","producao"
"63","MILHO 1ª SAFRA","1978/79","16513.828000000001","producao"
"64","MILHO 2ª SAFRA","1978/79","0","producao"
"65","SOJA","1978/79","10200","producao"
"66","SORGO","1978/79","121.90000000000001","producao"
"67","TRIGO","1978/79","2861","producao"
"68","TRITICALE","1978/79","0","producao"
"69","BRASIL","1978/79","41554.728000000003","producao"
"70","ALGODÃO - CAROÇO","1979/80","1105.7","producao"
"71","AMENDOIM TOTAL","1979/80","524.60000000000002","producao"
"72","AMENDOIM 1ª SAFRA","1979/80","429.39999999999998","producao"
"73","AMENDOIM 2ª SAFRA","1979/80","95.200000000000003","producao"
"74","ARROZ","1979/80","9638.2999999999993","producao"
"75","AVEIA","1979/80","75.5","producao"
"76","CANOLA","1979/80","0","producao"
"77","CENTEIO","1979/80","10.5","producao"
"78","CEVADA","1979/80","85","producao"
"79","FEIJÃO TOTAL","1979/80","1895.3","producao"
"80","FEIJÃO 1ª SAFRA","1979/80","1000","producao"
"81","FEIJÃO 2ª SAFRA","1979/80","895.29999999999995","producao"
"82","FEIJÃO 3ª SAFRA","1979/80","0","producao"
"83","GIRASSOL","1979/80","0","producao"
"84","MAMONA","1979/80","302.30000000000001","producao"
"85","MILHO TOTAL","1979/80","19435.322","producao"
"86","MILHO 1ª SAFRA","1979/80","19356.522000000001","producao"
"87","MILHO 2ª SAFRA","1979/80","78.799999999999997","producao"
"88","SOJA","1979/80","14887.4","producao"
"89","SORGO","1979/80","182.30000000000001","producao"
"90","TRIGO","1979/80","2729","producao"
"91","TRITICALE","1979/80","0","producao"
"92","BRASIL","1979/80","50871.222000000002","producao"
"93","ALGODÃO - CAROÇO","1980/81","1115.7","producao"
"94","AMENDOIM TOTAL","1980/81","320.30000000000001","producao"
"95","AMENDOIM 1ª SAFRA","1980/81","249.5","producao"
"96","AMENDOIM 2ª SAFRA","1980/81","70.799999999999997","producao"
"97","ARROZ","1980/81","8640.3999999999996","producao"
"98","AVEIA","1980/81","89.700000000000003","producao"
"99","CANOLA","1980/81","0","producao"
"100","CENTEIO","1980/81","19.600000000000001","producao"
"101","CEVADA","1980/81","141.69999999999999","producao"
"102","FEIJÃO TOTAL","1980/81","2407.3000000000002","producao"
"103","FEIJÃO 1ª SAFRA","1980/81","1274","producao"
"104","FEIJÃO 2ª SAFRA","1980/81","1133.3","producao"
"105","FEIJÃO 3ª SAFRA","1980/81","0","producao"
"106","GIRASSOL","1980/81","0","producao"
"107","MAMONA","1980/81","263.80000000000001","producao"
"108","MILHO TOTAL","1980/81","21283.810000000001","producao"
"109","MILHO 1ª SAFRA","1980/81","21156.810000000001","producao"
"110","MILHO 2ª SAFRA","1980/81","127","producao"
"111","SOJA","1980/81","15484.799999999999","producao"
"112","SORGO","1980/81","228.09999999999999","producao"
"113","TRIGO","1980/81","2217","producao"
"114","TRITICALE","1980/81","0","producao"
"115","BRASIL","1980/81","52212.209999999999","producao"
"116","ALGODÃO - CAROÇO","1981/82","1290.7","producao"
"117","AMENDOIM TOTAL","1981/82","348.19999999999999","producao"
"118","AMENDOIM 1ª SAFRA","1981/82","273.89999999999998","producao"
"119","AMENDOIM 2ª SAFRA","1981/82","74.299999999999997","producao"
"120","ARROZ","1981/82","9156.7999999999993","producao"
"121","AVEIA","1981/82","61.100000000000001","producao"
"122","CANOLA","1981/82","0","producao"
"123","CENTEIO","1981/82","3.7999999999999998","producao"
"124","CEVADA","1981/82","101.2","producao"
"125","FEIJÃO TOTAL","1981/82","3097.6700000000001","producao"
"126","FEIJÃO 1ª SAFRA","1981/82","1566","producao"
"127","FEIJÃO 2ª SAFRA","1981/82","1531.6700000000001","producao"
"128","FEIJÃO 3ª SAFRA","1981/82","0","producao"
"129","GIRASSOL","1981/82","0","producao"
"130","MAMONA","1981/82","201.5","producao"
"131","MILHO TOTAL","1981/82","21604.808000000001","producao"
"132","MILHO 1ª SAFRA","1981/82","21490.808000000001","producao"
"133","MILHO 2ª SAFRA","1981/82","114","producao"
"134","SOJA","1981/82","12890.9","producao"
"135","SORGO","1981/82","228.30000000000001","producao"
"136","TRIGO","1981/82","1876.0999999999999","producao"
"137","TRITICALE","1981/82","0","producao"
"138","BRASIL","1981/82","50861.078000000001","producao"
"139","ALGODÃO - CAROÇO","1982/83","1081.0999999999999","producao"
"140","AMENDOIM TOTAL","1982/83","274.60000000000002","producao"
"141","AMENDOIM 1ª SAFRA","1982/83","220.69999999999999","producao"
"142","AMENDOIM 2ª SAFRA","1982/83","53.899999999999999","producao"
"143","ARROZ","1982/83","8225.3999999999996","producao"
"144","AVEIA","1982/83","105.2","producao"
"145","CANOLA","1982/83","0","producao"
"146","CENTEIO","1982/83","4.5","producao"
"147","CEVADA","1982/83","143.40000000000001","producao"
"148","FEIJÃO TOTAL","1982/83","1654.8","producao"
"149","FEIJÃO 1ª SAFRA","1982/83","890.29999999999995","producao"
"150","FEIJÃO 2ª SAFRA","1982/83","764.5","producao"
"151","FEIJÃO 3ª SAFRA","1982/83","0","producao"
"152","GIRASSOL","1982/83","0","producao"
"153","MAMONA","1982/83","189.19999999999999","producao"
"154","MILHO TOTAL","1982/83","19014.964","producao"
"155","MILHO 1ª SAFRA","1982/83","18981.763999999999","producao"
"156","MILHO 2ª SAFRA","1982/83","33.200000000000003","producao"
"157","SOJA","1982/83","14532.9","producao"
"158","SORGO","1982/83","237.09999999999999","producao"
"159","TRIGO","1982/83","2191.4000000000001","producao"
"160","TRITICALE","1982/83","0","producao"
"161","BRASIL","1982/83","47654.563999999998","producao"
"162","ALGODÃO - CAROÇO","1983/84","1301.4000000000001","producao"
"163","AMENDOIM TOTAL","1983/84","219.69999999999999","producao"
"164","AMENDOIM 1ª SAFRA","1983/84","159.80000000000001","producao"
"165","AMENDOIM 2ª SAFRA","1983/84","59.899999999999999","producao"
"166","ARROZ","1983/84","8992","producao"
"167","AVEIA","1983/84","120.59999999999999","producao"
"168","CANOLA","1983/84","0","producao"
"169","CENTEIO","1983/84","3.1000000000000001","producao"
"170","CEVADA","1983/84","76.5","producao"
"171","FEIJÃO TOTAL","1983/84","2616.1999999999998","producao"
"172","FEIJÃO 1ª SAFRA","1983/84","1058.7","producao"
"173","FEIJÃO 2ª SAFRA","1983/84","1557.5","producao"
"174","FEIJÃO 3ª SAFRA","1983/84","0","producao"
"175","GIRASSOL","1983/84","0","producao"
"176","MAMONA","1983/84","224.80000000000001","producao"
