"","UF","ano","rend","name"
"1","AC","1976/77","42.100000000000001","producao"
"2","AL","1976/77","156.90000000000001","producao"
"3","AP","1976/77","0.82800000000000007","producao"
"4","AM","1976/77","11.300000000000001","producao"
"5","BA","1976/77","460","producao"
"6","CE","1976/77","762.5","producao"
"7","DF","1976/77","3.5","producao"
"8","ES","1976/77","359","producao"
"9","GO","1976/77","2439","producao"
"10","MA","1976/77","1427.3","producao"
"11","MT","1976/77","3045.6999999999998","producao"
"12","MS","1976/77","84.5","producao"
"13","MG","1976/77","3780.5","producao"
"14","PA","1976/77","209.80000000000001","producao"
"15","PB","1976/77","368.10000000000002","producao"
"16","PR","1976/77","12348.700000000001","producao"
"17","PE","1976/77","556.5","producao"
"18","PI","1976/77","371.39999999999998","producao"
"19","RJ","1976/77","139.5","producao"
"20","RN","1976/77","245.5","producao"
"21","RS","1976/77","11528.799999999999","producao"
"22","RO","1976/77","151.19999999999999","producao"
"23","RR","1976/77","13.199999999999999","producao"
"24","SC","1976/77","3632","producao"
"25","SP","1976/77","4733.6000000000004","producao"
"26","SE","1976/77","71.700000000000003","producao"
"27","TO","1976/77","0","producao"
"28","AC","1977/78","42.899999999999999","producao"
"29","AL","1977/78","152.30000000000001","producao"
"30","AP","1977/78","0.76300000000000001","producao"
"31","AM","1977/78","11","producao"
"32","BA","1977/78","704.89999999999998","producao"
"33","CE","1977/78","667.10000000000002","producao"
"34","DF","1977/78","3.3999999999999999","producao"
"35","ES","1977/78","373.5","producao"
"36","GO","1977/78","1959.7","producao"
"37","MA","1977/78","1446","producao"
"38","MT","1977/78","1311","producao"
"39","MS","1977/78","987.20000000000005","producao"
"40","MG","1977/78","3726.8000000000002","producao"
"41","PA","1977/78","201.30000000000001","producao"
"42","PB","1977/78","272.5","producao"
"43","PR","1977/78","7786.6999999999998","producao"
"44","PE","1977/78","467.19999999999999","producao"
"45","PI","1977/78","376","producao"
"46","RJ","1977/78","147.09999999999999","producao"
"47","RN","1977/78","204.59999999999999","producao"
"48","RS","1977/78","10770.9","producao"
"49","RO","1977/78","154.80000000000001","producao"
"50","RR","1977/78","8.5999999999999996","producao"
"51","SC","1977/78","2727.1999999999998","producao"
"52","SP","1977/78","3637.0999999999999","producao"
"53","SE","1977/78","72.799999999999997","producao"
"54","TO","1977/78","0","producao"
"55","AC","1978/79","36.799999999999997","producao"
"56","AL","1978/79","160.19999999999999","producao"
"57","AP","1978/79","1.4279999999999999","producao"
"58","AM","1978/79","14.1","producao"
